STYLE1,SQFT,STYLE2,BLDG_ID,sectorid,state_clas,center_x,center_y
,27280.0294101,COMMERCIAL,1369,2,F1,-95.35176242332216,29.759629730323983
,24843.3633137,COMMERCIAL,1371,2,X2,-95.35390442457074,29.758684739808185
,114074.340504,MULTIFAMILY,1378,2,B1,-95.35720263388897,29.757872577976542
,6792.81741151,,126,3,X1,-95.36014800000001,29.753747999999998
,62017.9795571,COMMERCIAL,173,3,F1,-95.36077304235931,29.754993360788028
UNDER 5000SF,2401.54585617,,190,3,X3,-95.35685976005126,29.756310656479254
,10854.7781721,COMMERCIAL,226,3,F1,-95.35827584095257,29.75697607987809
UNDER 5000SF,1475.71011794,,309,3,X1,-95.35863950000002,29.753110500000002
UNDER 5000SF,4068.75453773,,331,3,X1,-95.36031083134546,29.75258701325088
,8711.24957747,,440,3,X1,-95.36014819524614,29.752688586319127
,49957.350774,COMMERCIAL,485,3,F1,-95.35991863838782,29.754530593152623
,44250.8034091,COMMERCIAL,550,3,F1,-95.35941820880032,29.755280358457174
,110191.803649,,551,3,X1,-95.36058248260467,29.751516638060362
,806967.910901,COMMERCIAL,582,3,X1,-95.35790981636802,29.752305133580055
,61766.8350856,MULTIFAMILY,757,3,B1,-95.35898604775518,29.75722982338434
UNDER 5000SF,644.899034621,,800,3,J3,-95.361422,29.75241799999999
,6430.44116147,,818,3,X1,-95.35954129418522,29.753753261133035
,14040.7868055,COMMERCIAL,840,3,F1,-95.36138303137356,29.752984670824326
,14232.2041273,COMMERCIAL,881,3,F1,-95.35544818742017,29.755369178988495
,30297.291924,,935,3,XJ,-95.35736949999999,29.756050000000002
,20280.1703224,COMMERCIAL,955,3,F1,-95.35786947122206,29.7567261740372
UNDER 5000SF,575.886440884,,959,3,J3,-95.3619805,29.7521875
UNDER 5000SF,2052.81129865,,978,3,C2,-95.3560986118357,29.755579309384608
,47074.8791934,COMMERCIAL,1017,3,C2,-95.35955540164714,29.75651367823929
,8957.66565722,,1129,3,X3,-95.35726844186135,29.756402732871255
,6643.59821138,COMMERCIAL,1147,3,F1,-95.35886404386154,29.754618002055558
UNDER 5000SF,1627.69451423,,1148,3,X1,-95.35934499999999,29.753532000000003
,102329.816326,,1224,3,X1,-95.35609191832314,29.754390540616665
,13018.5091907,,1382,3,X1,-95.35965268810327,29.753442782838597
,20093.6605007,,252,4,X1,-95.3597657103594,29.750063910631077
UNDER 5000SF,1475.69916349,COMMERCIAL,257,4,C2,-95.36258000000001,29.745867999999994
,19103.530475,COMMERCIAL,264,4,F1,-95.36672443522754,29.747716332843975
,15023.7527708,COMMERCIAL,316,4,F1,-95.36431867108507,29.749156508298412
,31991.5093492,COMMERCIAL,509,4,F1,-95.3656470067293,29.749117782634364
,231184.556226,,537,4,X1,-95.362162107741,29.750773091727893
UNDER 5000SF,3015.23087486,COMMERCIAL,554,4,C2,-95.36180032975447,29.74755748877533
UNDER 5000SF,1556.83017284,COMMERCIAL,608,4,F1,-95.36227811809623,29.746255716237922
,60655.1053507,COMMERCIAL,612,4,F1,-95.36609148010038,29.748276781595365
,47635.3701667,MULTIFAMILY,640,4,B1,-95.36323927744279,29.745531485537732
UNDER 5000SF,3677.51934794,COMMERCIAL,641,4,F1,-95.36473614879152,29.749466505212173
UNDER 5000SF,4948.90736437,COMMERCIAL,707,4,F1,-95.36321465328062,29.74908347872576
,134589.839404,COMMERCIAL,736,4,F1,-95.36552146258954,29.747373616359514
,12492.672719,COMMERCIAL,865,4,F1,-95.3650244165096,29.74671076526979
,18071.90554,COMMERCIAL,866,4,F1,-95.36474349335548,29.74643487881681
,7500.35433798,COMMERCIAL,960,4,F1,-95.36256215212508,29.746140418028503
,62950.1344732,,986,4,X1,-95.36054417500645,29.750444532042344
UNDER 5000SF,820.368463174,COMMERCIAL,1039,4,F1,-95.36518550000001,29.7462435
,6938.53284207,COMMERCIAL,1139,4,F1,-95.3626159539635,29.747571711610863
,142256.123629,,1156,4,X1,-95.36304049999998,29.749740999999997
,23620.5262117,COMMERCIAL,1185,4,F1,-95.36449159276098,29.74715716734869
UNDER 5000SF,1281.77764691,COMMERCIAL,1186,4,F1,-95.36585445651001,29.74777808439882
,57201.6406475,MULTIFAMILY,1208,4,B1,-95.36431718319804,29.750504675007747
,21196.0860454,,1287,4,X3,-95.36345752011997,29.74688160533798
,19849.8229939,COMMERCIAL,1307,4,F1,-95.36090964615099,29.748448399254617
,23178.0133001,,163,5,X1,-95.37285495306976,29.751305779327982
UNDER 5000SF,1643.73326433,,231,5,X3,-95.36691633048973,29.750112491943124
,61506.7198748,COMMERCIAL,295,5,F1,-95.3729811875801,29.75242836593608
,18532.1246214,COMMERCIAL,361,5,F1,-95.36947129145196,29.750558149713694
,26369.84218,COMMERCIAL,420,5,F1,-95.37233639800594,29.75325416286971
,16130.575768,,421,5,X1,-95.3736183885063,29.751916620657585
,61638.6875567,,451,5,XI,-95.37068297121976,29.7521429855381
,59235.3986814,MULTIFAMILY,565,5,B1,-95.36780332502522,29.74930346784977
,30655.3841879,COMMERCIAL,569,5,F1,-95.37138984626611,29.751254518699714
UNDER 5000SF,2340.68524038,COMMERCIAL,649,5,F1,-95.37230425593931,29.750624044778082
UNDER 5000SF,3120.1465214,,661,5,,-95.37311249999999,29.753072500000002
,15289.9964694,MULTIFAMILY,684,5,F2,-95.36919031944497,29.751158746235422
UNDER 5000SF,3312.15165821,COMMERCIAL,743,5,F1,-95.37204457513036,29.75050500312438
UNDER 5000SF,3725.61764777,COMMERCIAL,744,5,F1,-95.372232,29.751824500000005
UNDER 5000SF,1394.20963229,COMMERCIAL,782,5,F1,-95.37177469209333,29.750571169156906
UNDER 5000SF,3583.13114102,,804,5,X3,-95.36928549611604,29.7489486741608
UNDER 5000SF,1093.50918234,,826,5,X3,-95.36803702747582,29.75056015099384
UNDER 5000SF,4264.29997387,COMMERCIAL,849,5,F1,-95.37101477809352,29.75151053304736
,58575.6753249,COMMERCIAL,850,5,F1,-95.37151949999999,29.752685500000002
,13162.9284114,,893,5,X3,-95.3678760125248,29.750398471894034
,31204.8647862,COMMERCIAL,896,5,F1,-95.36995200000001,29.749493999999995
,25167.2076743,,919,5,X3,-95.36731916536355,29.750120077950044
,57704.5452054,COMMERCIAL,921,5,F1,-95.36754231853419,29.74803928423109
,14074.819959,COMMERCIAL,922,5,F1,-95.36994710725997,29.75139394170028
,29879.5039324,MULTIFAMILY,941,5,F2,-95.36877498691388,29.7510038405253
UNDER 5000SF,4740.75953111,,994,5,Z5,-95.36941599999999,29.751638999999994
,59654.4953658,,1047,5,X1,-95.37099278349616,29.75012898818381
,9881.02012329,,1093,5,X3,-95.36952431202293,29.749106426774365
,42079.8196168,COMMERCIAL,1118,5,F1,-95.37320603495762,29.753718293128355
,30623.1036274,COMMERCIAL,1211,5,F1,-95.3670595,29.748634499999994
,7289.7619779,,1214,5,X3,-95.36909012219706,29.748820743541838
UNDER 5000SF,572.137678443,COMMERCIAL,1295,5,F1,-95.37262352647504,29.751829829046898
,58536.1592973,MULTIFAMILY,1312,5,B1,-95.3663543223994,29.749539596194374
,27376.2214253,,1318,5,X3,-95.36868669837668,29.749903318700536
,26953.5777999,COMMERCIAL,1338,5,F1,-95.36838900481143,29.748406779720803
UNDER 5000SF,4773.86346645,COMMERCIAL,1339,5,F1,-95.37232188149402,29.75203265488537
,12197.2905048,COMMERCIAL,1408,5,F1,-95.37200398443518,29.750894341215098
,54308.7443958,COMMERCIAL,1410,5,F1,-95.37381936809126,29.75295104826313
UNDER 5000SF,4908.63438916,COMMERCIAL,116,6,F1,-95.36556284359226,29.750168014154045
,5865.88987618,,237,6,J3,-95.37347802259208,29.755477741046775
UNDER 5000SF,2349.44935637,COMMERCIAL,263,6,F1,-95.36518689100657,29.75093030447419
UNDER 5000SF,1089.89537696,COMMERCIAL,267,6,F1,-95.37055900000001,29.7539485
,33278.41264290001,COMMERCIAL,293,6,F1,-95.37122841062187,29.754596855072865
UNDER 5000SF,1885.55999086,COMMERCIAL,354,6,F1,-95.36732561353898,29.75097319537275
,24083.4998477,COMMERCIAL,404,6,F1,-95.37288058709258,29.75454856078511
,17788.3850597,COMMERCIAL,474,6,F1,-95.3699257940932,29.75475844480018
,32968.12168180001,MULTIFAMILY,513,6,B1,-95.3675536434202,29.751446965381184
,133431.564177,COMMERCIAL,520,6,F1,-95.37382095717732,29.75691875219846
UNDER 5000SF,4776.96168658,COMMERCIAL,613,6,F1,-95.36574587117973,29.749942158802636
,11794.1558813,COMMERCIAL,660,6,F1,-95.37132534060189,29.754976763362947
,36119.3192741,,676,6,J4,-95.36532648530293,29.75222398874761
UNDER 5000SF,446.855452108,COMMERCIAL,709,6,F1,-95.367341,29.75327
,39140.4568653,COMMERCIAL,747,6,F1,-95.37302706181059,29.757239075763025
UNDER 5000SF,1436.73476227,COMMERCIAL,760,6,F1,-95.36503018625325,29.750815316772428
,60984.9858643,MULTIFAMILY,803,6,B1,-95.36775221943324,29.752580354887712
,5407.56413109,,824,6,X3,-95.36475964981342,29.75105815845169
,62544.5438168,COMMERCIAL,827,6,F1,-95.37062540344375,29.755417442958375
,35730.9018925,COMMERCIAL,895,6,F1,-95.36953300877826,29.753578770130495
,47793.7071156,COMMERCIAL,938,6,C2,-95.36629284444497,29.75272517925048
,7955.87490968,COMMERCIAL,967,6,F1,-95.36643060661712,29.753104229048056
UNDER 5000SF,1264.59915316,COMMERCIAL,991,6,F1,-95.36744550761277,29.750986161502773
UNDER 5000SF,498.903678733,COMMERCIAL,1044,6,F1,-95.3674455,29.753326999999995
,14850.7361823,MULTIFAMILY,1045,6,B1,-95.36848748532536,29.752040762646345
,5373.09481967,MULTIFAMILY,1086,6,B1,-95.36454428754718,29.75143159478345
,6760.59235953,COMMERCIAL,1112,6,F1,-95.36634859411852,29.751532176466736
,5442.62049664,MULTIFAMILY,1141,6,B1,-95.36442240201868,29.75158608290305
,39900.27270890001,COMMERCIAL,1159,6,F1,-95.36674358528114,29.750713170970158
,16276.8351905,COMMERCIAL,1161,6,C2,-95.37385956958482,29.756036194482746
,25485.6776346,COMMERCIAL,1162,6,C2,-95.369398868099,29.75222556520446
,29645.6976263,MULTIFAMILY,1240,6,B1,-95.3681816688571,29.75175480783984
,17411.665365,COMMERCIAL,1260,6,F1,-95.37055172108312,29.75429843607503
,64614.0312324,COMMERCIAL,1263,6,F1,-95.37094149999999,29.753412499999996
,11654.376007,COMMERCIAL,1314,6,F1,-95.36737439697315,29.753165584119756
UNDER 5000SF,3898.99278515,COMMERCIAL,1334,6,F1,-95.36557924153446,29.75099663017997
UNDER 5000SF,242.4119035,COMMERCIAL,1336,6,F1,-95.36753715837499,29.753377547488693
,10916.9845109,COMMERCIAL,1396,6,F1,-95.36463546094824,29.752069673502863
UNDER 5000SF,553.963582406,COMMERCIAL,1406,6,F1,-95.36704299999998,29.751323000000003
,8075.24643099,,1409,6,X3,-95.37205726833301,29.756244632651647
,24137.821204,COMMERCIAL,122,7,F1,-95.36798750000001,29.757140500000006
,198019.909837,COMMERCIAL,129,7,F1,-95.3650625162694,29.754258861079116
,6614.15491215,,182,7,X1,-95.37120543036728,29.75931060282649
UNDER 5000SF,4085.40515826,,235,7,X1,-95.37127179386755,29.75901166338059
,25974.4818662,COMMERCIAL,325,7,F1,-95.36846848377373,29.754978779314804
,55518.9763375,COMMERCIAL,394,7,F1,-95.36745682136579,29.754626638105467
,39505.4452628,COMMERCIAL,406,7,F1,-95.36622516587406,29.756120020805827
,57776.2285473,,486,7,X2,-95.3648228170054,29.753025197940126
,64049.1328708,COMMERCIAL,489,7,F1,-95.36971199999999,29.758176499999998
,19900.5957948,,511,7,X1,-95.36797675348568,29.755908946319465
UNDER 5000SF,3166.70539995,,518,7,X1,-95.37227881332069,29.758918949072555
,26378.5204065,COMMERCIAL,538,7,Z5,-95.36358935838182,29.753389876735067
,64669.1561132,COMMERCIAL,561,7,F1,-95.3653859765771,29.755574397428727
,21099.4421103,,587,7,X1,-95.36752335301819,29.755760891566524
,45731.5541722,COMMERCIAL,616,7,F1,-95.36937905708577,29.756971305192316
,53218.1576811,COMMERCIAL,658,7,F1,-95.36693143456476,29.755368701780377
,61934.1445772,COMMERCIAL,679,7,F1,-95.3657101285133,29.753552659376524
,61515.0558986,COMMERCIAL,682,7,F1,-95.36918390436928,29.755646638871376
,29289.474833,COMMERCIAL,742,7,F1,-95.37129690862591,29.757850191176686
,73357.702128,COMMERCIAL,828,7,F1,-95.37001933112226,29.75623438562183
,66276.5548904,COMMERCIAL,845,7,F1,-95.36451572667319,29.755055149214872
,31993.4121711,COMMERCIAL,898,7,F1,-95.37185954833326,29.7583478729893
,29982.539278,COMMERCIAL,962,7,Z5,-95.36280679329391,29.75404352569695
,64691.3913556,COMMERCIAL,990,7,F1,-95.3665635,29.754083
UNDER 5000SF,994.308108914,COMMERCIAL,1117,7,F1,-95.3718355,29.757138
,61190.4204182,COMMERCIAL,1158,7,F1,-95.37034659961232,29.757485080998435
,53457.7126536,COMMERCIAL,1165,7,F1,-95.3705632874974,29.75872832909755
UNDER 5000SF,1179.52832746,COMMERCIAL,1188,7,F1,-95.37153000000004,29.7572095
,25990.1508333,COMMERCIAL,1216,7,F1,-95.37190796523669,29.757352502891706
,57858.2936365,COMMERCIAL,1309,7,F1,-95.36367095139505,29.754536824438983
,24164.9848035,COMMERCIAL,1317,7,F1,-95.36889022279847,29.757686929400954
,31596.674699,COMMERCIAL,1321,7,F1,-95.37104900000001,29.757002499999995
,35756.3225602,,160,8,X1,-95.36997615761328,29.75943184936653
UNDER 5000SF,2709.27639565,,161,8,X1,-95.37142546211624,29.760394262669937
UNDER 5000SF,1805.5261686,,162,8,X1,-95.37163490679193,29.760630328880655
,38846.4016649,COMMERCIAL,180,8,F1,-95.36739352912937,29.757872779994596
,9863.37391243,,181,8,X1,-95.36867172956482,29.759756696980876
,61771.9549174,COMMERCIAL,197,8,F1,-95.3659585,29.758115500000002
,26739.9393069,COMMERCIAL,228,8,F1,-95.36163623764834,29.755510639679937
,28767.4156199,COMMERCIAL,290,8,F1,-95.3683101454591,29.75840112660093
UNDER 5000SF,1067.67545582,,292,8,X1,-95.371554,29.759883000000002
,61093.5552354,COMMERCIAL,393,8,F1,-95.36654167355093,29.757363529118535
UNDER 5000SF,712.703376282,,419,8,X1,-95.37100799999999,29.760378999999997
,88009.3006755,COMMERCIAL,442,8,F1,-95.36294981177463,29.75634185035289
,58764.9173723,COMMERCIAL,469,8,F1,-95.36568301123529,29.756849621559375
,25100.0862083,,473,8,X1,-95.36924717686803,29.758863346657233
,40187.6359504,COMMERCIAL,487,8,F1,-95.36432593375231,29.757047262256567
,25139.1824461,COMMERCIAL,611,8,F1,-95.36493635385172,29.756146023762415
,46838.2403271,,618,8,X1,-95.37021681108367,29.760681598473695
UNDER 5000SF,4032.9998977,,714,8,X1,-95.37192997538281,29.76081660007821
,29391.8590595,,781,8,X1,-95.369381187902,29.760179915090117
,21050.8673497,COMMERCIAL,863,8,F1,-95.36395432557252,29.757112465389337
,64395.4690649,COMMERCIAL,966,8,Z5,-95.3650885,29.757600000000004
,30154.6084312,COMMERCIAL,1108,8,F1,-95.36393750224839,29.75580935777624
,29038.1173664,COMMERCIAL,1233,8,F1,-95.36466217570002,29.75647157480238
UNDER 5000SF,3831.28603456,,1293,8,X1,-95.3692305,29.75921
,27271.7909475,COMMERCIAL,1401,8,F1,-95.36768052283347,29.759149643803926
,42924.7242846,COMMERCIAL,117,9,F1,-95.36653853703355,29.76055839154383
,41430.508593,,118,9,X1,-95.36703664609115,29.759929745043774
,42342.88337950001,,156,9,X1,-95.36127368314183,29.757494260044083
,48396.6500692,,193,9,X1,-95.36045500736101,29.757001372882943
,58004.6238241,COMMERCIAL,194,9,F1,-95.36102345110616,29.756273675085477
,139163.514973,,206,9,X1,-95.36982779570023,29.761872306553126
,64421.0048209,COMMERCIAL,384,9,Z5,-95.36302192686135,29.758557063667467
,61716.9323891,COMMERCIAL,400,9,F1,-95.36360465451541,29.757788931580087
,65464.4598481,MULTIFAMILY,441,9,B1,-95.3621470451215,29.758016283206018
,53543.0277487,COMMERCIAL,468,9,F1,-95.365609208682,29.760096279738107
,130406.020491,COMMERCIAL,675,9,F1,-95.36419409323857,29.75870678878817
,31946.3151362,COMMERCIAL,677,9,F1,-95.36529389462285,29.75876011316532
,60087.4318473,COMMERCIAL,761,9,F1,-95.36476802923431,29.759603348564735
,61089.8057524,COMMERCIAL,846,9,F1,-95.36621967896262,29.759390421645417
,41976.5067018,,847,9,X1,-95.36739549999997,29.7610885
UNDER 5000SF,1482.16968866,,874,9,,-95.3677425,29.761297
UNDER 5000SF,480.415968058,,890,9,F1,-95.36306332148291,29.758142976459283
,66195.82870670002,COMMERCIAL,1036,9,F1,-95.3627410871668,29.75728499352172
UNDER 5000SF,4861.12111585,COMMERCIAL,177,10,F1,-95.36478286844708,29.761556655390702
,16565.2973545,COMMERCIAL,192,10,X1,-95.35861297739416,29.75953436511618
,17589.81294,COMMERCIAL,250,10,X1,-95.35920773472614,29.759892988221576
UNDER 5000SF,4579.29817008,COMMERCIAL,251,10,F1,-95.359464,29.759474499999996
,29459.9753227,COMMERCIAL,254,10,F1,-95.36168335648884,29.76027327666792
,55966.9656924,MULTIFAMILY,258,10,B1,-95.36210384721362,29.76140147063284
,71566.0573284,MULTIFAMILY,280,10,B1,-95.36269810793114,29.76061191501603
,63202.0344682,COMMERCIAL,283,10,F1,-95.36353330953322,29.76115598308219
,43128.7915189,COMMERCIAL,338,10,F1,-95.36429723634609,29.761689208324917
,208092.105968,COMMERCIAL,358,10,F1,-95.36782933360588,29.76246266071215
,50215.3979637,MULTIFAMILY,388,10,B1,-95.36386635138014,29.762403650231526
UNDER 5000SF,2736.76517614,,449,10,X1,-95.36580250000002,29.761659000000005
,30102.6560909,COMMERCIAL,467,10,F1,-95.36306600000002,29.761760499999998
,5201.77457199,COMMERCIAL,502,10,F1,-95.3590165,29.759288999999992
,32140.9040477,COMMERCIAL,506,10,F1,-95.36454576585137,29.763092077025902
UNDER 5000SF,2040.92177829,,508,10,X1,-95.36562881727544,29.761506876531342
,28552.3395764,COMMERCIAL,585,10,F1,-95.36191361120612,29.7599414246921
,8888.99046531,COMMERCIAL,605,10,F1,-95.36124749999999,29.7611675
,22889.3034586,COMMERCIAL,610,10,F1,-95.36400294642453,29.760393584133887
,8486.45141042,COMMERCIAL,669,10,F1,-95.35989456037315,29.758063327193696
,66751.4573529,,735,10,X1,-95.3650348253147,29.76087296900305
,9008.12306203,COMMERCIAL,774,10,F1,-95.36027138727655,29.760036820005002
,47900.7542233,,775,10,X1,-95.36070063771804,29.75825601626032
,62383.1971096,COMMERCIAL,777,10,F1,-95.3624185683689,29.759314835418127
UNDER 5000SF,2982.69137857,,778,10,X1,-95.36595,29.761168499999997
UNDER 5000SF,4151.2123512,COMMERCIAL,819,10,F1,-95.35987439265179,29.75971966114393
UNDER 5000SF,3228.15020327,COMMERCIAL,820,10,F1,-95.36077117292248,29.76093601768309
,6894.97809155,,838,10,X2,-95.35957450000001,29.7584975
,44773.7127418,COMMERCIAL,839,10,X3,-95.36087042702694,29.759605125063135
,24671.6895683,COMMERCIAL,968,10,F1,-95.36742172393589,29.76424820136216
,10452.0453745,COMMERCIAL,1016,10,X1,-95.35855695713171,29.75901317422603
,15643.9930582,COMMERCIAL,1019,10,F1,-95.36061348273084,29.760353283578425
,13883.8791067,COMMERCIAL,1034,10,F1,-95.3595579979137,29.757746667472926
,45866.3767371,,1060,10,X3,-95.360018886426,29.759086918464885
,10474.2212331,COMMERCIAL,1081,10,F1,-95.36017882565216,29.75770096634091
,17212.3540747,,1107,10,X1,-95.35923149999999,29.7587895
,62874.8244247,COMMERCIAL,1140,10,C2,-95.36331700000002,29.759840500000003
UNDER 5000SF,2099.76054168,,1201,10,X1,-95.35822680655473,29.75937880447547
UNDER 5000SF,3244.89996958,COMMERCIAL,1203,10,F1,-95.35990330311651,29.76039953812962
,59807.3803322,COMMERCIAL,1230,10,F1,-95.3615664504033,29.758773520670037
,60543.6855014,COMMERCIAL,1256,10,X1,-95.36525214751715,29.762199784521236
,16971.4983136,COMMERCIAL,1289,10,F1,-95.36469635600825,29.762702099425564
UNDER 5000SF,2336.80387374,,1311,10,X1,-95.36614273646092,29.761389808065847
UNDER 5000SF,790.808405804,,1319,10,X1,-95.369523,29.762965500000004
,106681.463947,,1397,10,X1,-95.36568786411901,29.763361542664
,19511.0121899,,107,11,X1,-95.35923714041851,29.766691772189528
,37121.1034972,,124,11,X1,-95.35851991212068,29.76260102972228
,25048.9968669,,253,11,X1,-95.35974014463265,29.761083984284355
,28000.7055936,COMMERCIAL,276,11,X1,-95.3606833744097,29.76150815596209
,21882.4013386,COMMERCIAL,277,11,Z5,-95.36151410147858,29.763310606724335
,7948.80207066,,284,11,X2,-95.3638829769571,29.767634118514653
