BLDG_ID,SqFtCd,SqFt_est,POS_Landuse,sectorid,POS_StateClass,POS_StateClassCd,center_x,center_y
287,UNDER 5000SF,855.2465878,,0,RESIDENTIAL,A1,-95.3673,29.77111
289,UNDER 5000SF,1916.64035,,0,RESIDENTIAL,A1,-95.3676,29.77065
300,UNDER 5000SF,1599.907034,,0,RESIDENTIAL,A1,-95.378,29.75559
301,,5431.591758,,0,RESIDENTIAL,A1,-95.3465,29.76042
311,UNDER 5000SF,3248.277051,,0,RESIDENTIAL,A1,-95.3612,29.74126
319,UNDER 5000SF,1174.395657,,0,RESIDENTIAL,A1,-95.3662,29.74189
328,UNDER 5000SF,678.5858909,,0,RESIDENTIAL,A1,-95.3577,29.74556
329,UNDER 5000SF,1334.436343,,0,RESIDENTIAL,A1,-95.3579,29.74103
330,UNDER 5000SF,2847.647726,,0,RESIDENTIAL,A1,-95.358,29.74144
332,UNDER 5000SF,1522.851362,COMMERCIAL,0,RESIDENTIAL,A1,-95.3728,29.76491
336,UNDER 5000SF,290.2862693,,0,RESIDENTIAL,A1,-95.3642,29.73989
339,UNDER 5000SF,3217.00479,,0,RESIDENTIAL,A1,-95.365,29.74289
341,UNDER 5000SF,755.742931,,0,RESIDENTIAL,A1,-95.3581,29.74533
343,,6533.097502,,0,RESIDENTIAL,A1,-95.3662,29.74377
344,UNDER 5000SF,2105.604273,,0,RESIDENTIAL,A1,-95.3661,29.74178
345,,5863.108318,,0,RESIDENTIAL,A1,-95.3782,29.75367
348,UNDER 5000SF,1034.789111,,0,RESIDENTIAL,A1,-95.3671,29.77104
349,UNDER 5000SF,3220.167019,,0,RESIDENTIAL,A1,-95.3672,29.74326
351,UNDER 5000SF,2081.418278,,0,RESIDENTIAL,A1,-95.3619,29.73921
352,UNDER 5000SF,1910.464573,,0,RESIDENTIAL,A1,-95.3625,29.73989
353,UNDER 5000SF,3092.316803,,0,RESIDENTIAL,A1,-95.3661,29.74216
355,UNDER 5000SF,4251.325526,,0,RESIDENTIAL,A1,-95.3673,29.74157
357,,5037.343001,,0,RESIDENTIAL,A1,-95.3768,29.75667
359,UNDER 5000SF,757.0978317,,0,RESIDENTIAL,A1,-95.378,29.75719
367,UNDER 5000SF,866.4456159,,0,RESIDENTIAL,A1,-95.3779,29.75673
368,UNDER 5000SF,776.9471025,,0,RESIDENTIAL,A1,-95.3781,29.75719
369,UNDER 5000SF,744.3551085,,0,RESIDENTIAL,A1,-95.3781,29.75592
379,UNDER 5000SF,726.9452278,,0,RESIDENTIAL,A1,-95.358,29.74553
380,UNDER 5000SF,928.0958534,,0,RESIDENTIAL,A1,-95.3579,29.74124
385,UNDER 5000SF,4268.380143,,0,RESIDENTIAL,A1,-95.3628,29.74085
386,UNDER 5000SF,1709.450982,,0,RESIDENTIAL,A1,-95.3636,29.74026
387,UNDER 5000SF,1597.834754,,0,RESIDENTIAL,A1,-95.3557,29.74419
397,UNDER 5000SF,1947.158565,,0,RESIDENTIAL,A1,-95.3623,29.74042
398,UNDER 5000SF,1986.183864,,0,RESIDENTIAL,A1,-95.3626,29.73976
399,,9078.220024,,0,RESIDENTIAL,A1,-95.3632,29.74062
409,UNDER 5000SF,939.7169498,,0,RESIDENTIAL,A1,-95.3676,29.77032
410,UNDER 5000SF,2930.937804,COMMERCIAL,0,RESIDENTIAL,A1,-95.3679,29.74094
413,UNDER 5000SF,2812.292337,,0,RESIDENTIAL,A1,-95.3759,29.75538
414,UNDER 5000SF,1613.556939,,0,RESIDENTIAL,A1,-95.3763,29.76452
415,UNDER 5000SF,4679.078909,,0,RESIDENTIAL,A1,-95.3772,29.75531
416,UNDER 5000SF,980.5828441,,0,RESIDENTIAL,A1,-95.378,29.75634
422,UNDER 5000SF,3257.682591,,0,RESIDENTIAL,A1,-95.3754,29.76486
423,UNDER 5000SF,2200.458129,,0,RESIDENTIAL,A1,-95.376,29.76423
424,,5075.043917,,0,RESIDENTIAL,A1,-95.3762,29.75623
425,,5086.620053,,0,RESIDENTIAL,A1,-95.3764,29.75667
427,UNDER 5000SF,1573.429935,,0,RESIDENTIAL,A1,-95.3779,29.75506
428,UNDER 5000SF,926.2861104,,0,RESIDENTIAL,A1,-95.3781,29.75628
435,UNDER 5000SF,688.4645833,COMMERCIAL,0,RESIDENTIAL,A1,-95.3566,29.74398
437,UNDER 5000SF,1520.567568,,0,RESIDENTIAL,A1,-95.3578,29.74776
438,UNDER 5000SF,984.8763357,,0,RESIDENTIAL,A1,-95.3578,29.7479
443,UNDER 5000SF,2613.762958,,0,RESIDENTIAL,A1,-95.364,29.73862
444,UNDER 5000SF,2187.04378,,0,RESIDENTIAL,A1,-95.3648,29.73857
445,UNDER 5000SF,4715.981767,,0,RESIDENTIAL,A1,-95.365,29.73961
447,UNDER 5000SF,4389.229837,,0,RESIDENTIAL,A1,-95.3651,29.74344
453,UNDER 5000SF,1316.269691,,0,RESIDENTIAL,A1,-95.3768,29.75803
454,,7988.4568,,0,RESIDENTIAL,A1,-95.3771,29.75558
455,UNDER 5000SF,842.9758209,,0,RESIDENTIAL,A1,-95.3782,29.75494
456,UNDER 5000SF,808.6868261,,0,RESIDENTIAL,A1,-95.3782,29.75667
457,UNDER 5000SF,1105.928638,,0,RESIDENTIAL,A1,-95.3783,29.75471
462,UNDER 5000SF,1136.894977,,0,RESIDENTIAL,A1,-95.3581,29.74092
463,UNDER 5000SF,1281.630125,,0,RESIDENTIAL,A1,-95.358,29.74113
464,UNDER 5000SF,2937.247969,,0,RESIDENTIAL,A1,-95.3587,29.74025
465,UNDER 5000SF,3316.462663,,0,RESIDENTIAL,A1,-95.3588,29.74034
471,UNDER 5000SF,1934.755904,,0,RESIDENTIAL,A1,-95.3674,29.74015
472,UNDER 5000SF,2883.785225,COMMERCIAL,0,RESIDENTIAL,A1,-95.3678,29.74105
475,UNDER 5000SF,4850.122443,,0,RESIDENTIAL,A1,-95.3766,29.75623
476,UNDER 5000SF,4636.333209,,0,RESIDENTIAL,A1,-95.3776,29.75632
477,UNDER 5000SF,744.5298829,,0,RESIDENTIAL,A1,-95.3781,29.75569
480,UNDER 5000SF,1321.887104,,0,RESIDENTIAL,A1,-95.3483,29.75645
483,UNDER 5000SF,1065.989234,,0,RESIDENTIAL,A1,-95.356,29.74451
484,UNDER 5000SF,827.9910538,COMMERCIAL,0,RESIDENTIAL,A1,-95.3579,29.7456
492,UNDER 5000SF,701.8312386,,0,RESIDENTIAL,A1,-95.3758,29.75556
494,UNDER 5000SF,2280.156497,,0,RESIDENTIAL,A1,-95.3783,29.75563
503,UNDER 5000SF,1940.100932,,0,RESIDENTIAL,A1,-95.3615,29.74132
505,,9059.932767,,0,RESIDENTIAL,A1,-95.363,29.74054
507,UNDER 5000SF,3054.764167,,0,RESIDENTIAL,A1,-95.365,29.74355
510,UNDER 5000SF,3570.649786,COMMERCIAL,0,RESIDENTIAL,A1,-95.3676,29.74116
514,UNDER 5000SF,2767.573002,,0,RESIDENTIAL,A1,-95.3698,29.74472
516,UNDER 5000SF,1698.924724,,0,RESIDENTIAL,A1,-95.3708,29.74512
523,UNDER 5000SF,725.3134508,,0,RESIDENTIAL,A1,-95.378,29.75592
524,UNDER 5000SF,1075.231017,,0,RESIDENTIAL,A1,-95.3785,29.75469
534,UNDER 5000SF,3650.471801,,0,RESIDENTIAL,A1,-95.3615,29.74092
